id,threshold,batch-size,sites,rounds,subrounds,accuracy,traffic
1,0.01,16,8,2811,2811,97.98,30397586088
2,0.1,16,8,1059,1100,96.91,11451824168
3,0.3,16,8,535,678,96.55,5785415216
4,0.5,16,8,501,664,96.46,5417751168
5,0.7,16,8,320,543,96.41,3460465396
6,0.9,16,8,252,397,96.11,2725110772
7,1,16,8,122,185,96.01,1319298024
8,0.5,1,8,633,743,97.83,6846804429
9,0.5,4,8,601,657,97.51,6494812347
10,0.5,16,8,501,664,96.46,5688638726
11,0.5,32,8,373,626,96.37,5518320149
12,0.5,64,8,365,618,96.26,5041428734
13,0.5,128,8,348,444,96.21,3508561621
14,0.5,16,4,501,664,96.43,5417751168
15,0.5,16,8,249,321,96.46,1346327876
16,0.5,16,16,128,348,96.44,5536842508
17,0.5,16,32,100,304,96.4,2162844092
18,0.5,16,64,57,215,96.21,931342188
19,0.5,16,128,49,97,96.13,800627534